Name	Ident.	RA Decimal	Dec Decimal	V Mag
Sirius	9Alpha 	6.752472222	-16.71611111	-1.46
Canopus	Alpha 	6.399194444	-52.69583333	-0.72
Arcturus	16Alpha 	14.26102778	19.1825	-0.04
Rigil Kentaurus	Alpha1	14.65997222	-60.83527778	-0.01
Vega	3Alpha 	18.61563889	38.78361111	0.03
Capella	13Alpha 	5.278166667	45.99805556	0.08
Rigel	19Beta 	5.242305556	-8.201666667	0.12
Procyon	10Alpha 	7.655027778	5.225	0.38
Achernar	Alpha	1.628583333	-57.23666667	0.46
Betelgeuse	58Alpha 	5.919527778	7.406944444	0.5
Hadar	Beta 	14.06372222	-60.37305556	0.61
Altair	53Alpha 	19.84638889	8.868333333	0.77
Aldebaran	87Alpha 	4.598666667	16.50916667	0.85
Antares	21Alpha 	16.49011111	-26.43194444	0.96
Spica	67Alpha 	13.41988889	-11.16138889	0.98
Pollux	78Beta 	7.75525	28.02611111	1.14
Fomalhaut	24Alpha 	22.96086111	-29.62222222	1.16
Mimosa	Beta 	12.79533333	-59.68861111	1.25
Deneb	50Alpha 	20.69052778	45.28027778	1.25
Acrux	Alpha1	12.44330556	-63.09916667	1.33
Regulus	32Alpha 	10.13952778	11.96722222	1.35
Adhara	21Epsilon 	6.977083333	-28.97222222	1.5
Gacrux	Gama 	12.51941667	-57.11333333	1.63
Shaula	35Lambda 	17.56013889	-37.10388889	1.63
Bellatrix	24Gama	5.418861111	6.349722222	1.64
El Nath	112Beta 	5.438194444	28.6075	1.65
Miaplacidus	Beta 	9.22	-69.71722222	1.68
Alnilan	46Epsilon 	5.603555556	-1.201944444	1.7
Al Na'ir	Alpha 	22.13722222	-46.96111111	1.74
Alioth	77Epsilon 	12.90047222	55.95972222	1.77
	Gama2	8.158888889	-47.33666667	1.78
Mirfak	33Alpha 	3.405388889	49.86111111	1.79
Dubhe	50Alpha 	11.06213889	61.75083333	1.79
Wezen	25Delta 	7.139861111	-26.39333333	1.84
Kaus Australis	20Epsilon 	18.40286111	-34.38472222	1.85
Avior	Epsilon 	8.375222222	-59.50972222	1.86
Alkaid	85Eta 	13.79233333	49.31333333	1.86
Sargas	Theta 	17.622	-42.99777778	1.87
Menkaliman	34Beta 	5.992138889	44.9475	1.9
Atria	Alpha 	16.81108333	-69.02777778	1.92
Alhena	24Gama 	6.628527778	16.39916667	1.93
Peacock	Alpha 	20.42747222	-56.735	1.94
	Delta 	8.745055556	-54.70833333	1.96
Mirzam	2Beta 	6.378333333	-17.95583333	1.98
Castor	66Alpha 	7.576666667	31.88833333	1.98
Alphard	30Alpha 	9.459777778	-8.658611111	1.98
Hamal	13Alpha 	2.119555556	23.4625	2
Polaris	1Alpha 	2.530194444	89.26416667	2.02
Nunki	34Sigma 	18.92108333	-26.29666667	2.02
Deneb Kaitos	16Beta 	0.726444444	52.98666667	2.04
